gi|56551089|ref|YP_161928.1|	K08300
gi|283856204|ref|YP_161930.2|	K01448
gi|56551093|ref|YP_161932.1|	K05366
gi|56551094|ref|YP_161933.1|	K02836
gi|56551095|ref|YP_161934.1|	K01356
gi|56551096|ref|YP_161935.1|	K00766
gi|56551097|ref|YP_161936.1|	K01658
gi|56551098|ref|YP_161937.1|	K03406
gi|56551099|ref|YP_161938.1|	K13638
gi|283856205|ref|YP_161939.2|
gi|56551101|ref|YP_161940.1|	K00329
gi|56551102|ref|YP_161941.1|	K00931
gi|56551103|ref|YP_161942.1|	K03979
gi|56551104|ref|YP_161943.1|
gi|56551105|ref|YP_161944.1|	K02899
gi|283856206|ref|YP_161946.3|	K02888
gi|283856207|ref|YP_161948.2|
gi|56551110|ref|YP_161949.1|	K03327
gi|283856208|ref|YP_161950.2|	K01934
gi|283856209|ref|YP_161951.2|
gi|56551115|ref|YP_161954.1|
gi|56551116|ref|YP_161955.1|	K05524
gi|56551117|ref|YP_161956.1|	K07736
gi|56551118|ref|YP_161957.1|
gi|56551119|ref|YP_161958.1|
gi|56551120|ref|YP_161959.1|
gi|56551121|ref|YP_161960.1|	K00641
gi|56551122|ref|YP_161961.1|	K16066
gi|56551123|ref|YP_161962.1|	K02335
gi|283856210|ref|YP_161963.2|
gi|283856211|ref|YP_161964.2|	K02015
gi|56551126|ref|YP_161965.1|	K02013
gi|283856212|ref|YP_161966.2|
gi|56551128|ref|YP_161967.1|	K03218
gi|56551129|ref|YP_161968.1|
gi|283856213|ref|YP_161969.2|	K01362
gi|56551132|ref|YP_161971.1|	K03593
gi|56551134|ref|YP_161973.1|	K02113
gi|56551135|ref|YP_161974.1|	K02111
gi|56551136|ref|YP_161975.1|	K02115
gi|56551137|ref|YP_161976.1|	K02112
gi|56551138|ref|YP_161977.1|	K02114
gi|283856214|ref|YP_161978.2|
gi|56551140|ref|YP_161979.1|	K03530
gi|56551142|ref|YP_161981.1|	K01419
gi|56551143|ref|YP_161982.1|	K03667
gi|56551145|ref|YP_161984.1|	K02913
gi|56551146|ref|YP_161985.1|	K11443
gi|56551147|ref|YP_161986.1|
gi|56551148|ref|YP_161987.1|
gi|56551149|ref|YP_161988.1|	K12543
gi|56551150|ref|YP_161989.1|	K12541
gi|56551151|ref|YP_161990.1|	K12542
gi|56551152|ref|YP_161991.1|	K03777
gi|56551153|ref|YP_161992.1|	K02483
